nom;type;region;email;site_web;statut;date_contact;relance;rdv;signe;notes
Cecca;expert-comptable;IDF;;https://cecca.fr;a_contacter;;;;;Pas d'email direct trouve, passer par formulaire /contact
Extencia;expert-comptable;National (plusieurs regions);extencia@extencia.fr;https://www.extencia.fr;a_contacter;;;;;30 ans specialisation restauration, plusieurs implantations
Exa Conseils;expert-comptable;IDF;cabinet@exaconseils.fr;https://exaconseils.fr;a_contacter;;;;;Contact nominatif alternatif : cabinet.cabourg@exaconseils.fr
Compta Resto;expert-comptable;IDF (Paris 17e);contact@comptaresto.com;https://comptaresto.com;a_contacter;;;;;+300 restaurants accompagnes depuis 2002, gros volume clients
Nexco Expert-Comptable Paris;expert-comptable;IDF (Paris 8e);contact@nexco.fr;https://www.nexco-expertise.com;a_contacter;;;;;Formules des 350 EUR HT/mois, connexion temps reel aux caisses
Guennoun Conseils;expert-comptable;IDF (Paris 15e);;https://www.guennounconseils.fr;a_contacter;;;;;Pas d'email direct trouve, passer par formulaire /contact
Qontum;expert-comptable;IDF;expertcomptable@qontum.fr;https://qontum.fr;a_contacter;;;;;Gere aussi la redaction de contrats specifiques CHR
OnlyCompta;expert-comptable;AURA (Lyon);;https://www.onlycompta.fr;a_contacter;;;;;Pas d'email direct trouve, passer par formulaire /contact
Jum Advisory;expert-comptable;AURA (Lyon);;https://www.jum-advisory.fr;a_contacter;;;;;Email affiche etait un placeholder, verifier sur le site
Cabinet Levy & Associes;expert-comptable;AURA (Lyon 6e);nathalie@cabinetlevyassocies.fr;https://cabinetlevyassocies.fr;a_contacter;;;;;Cabinet familial, 800+ clients, 30 ans d'existence
HSN Expertise;expert-comptable;PACA (Marseille);contact@hsn-expertise.com;https://www.hsn-expertise.com;a_contacter;;;;;Specialise restauration et CHR
WeMa;expert-comptable;PACA;;https://www.wema.fr;a_contacter;;;;;Pas d'email direct trouve, passer par formulaire /contact
Cabinet Mosselmans;expert-comptable;PACA (Marseille);;https://www.cabinet-mosselmans.com;a_contacter;;;;;Adresse : 13 avenue de la Magalone, 13009 Marseille · tel 04 96 20 36 70
CHR Conseils & Transactions;courtier_cession;National;contact@chrconseils.fr;https://chrconseils.fr;a_contacter;;;;;Specialise transactions cafes/hotels/restaurants
C.H.R. Immobilier;courtier_cession;National;chr-immo@wanadoo.fr;https://www.chr-immo.fr;a_contacter;;;;;Dirige par Laurent Raoult, conseil + estimation + cession
Michel Simond;courtier_cession;National (plusieurs regions);;https://www.msimond.fr;a_contacter;;;;;Pas d'email direct trouve, passer par formulaire /contact
Century 21 Groupe Horeca;courtier_cession;National (reseau, Paris + region);enseignes@century21horeca.com;https://www.century21-horeca.com;a_contacter;;;;;Reseau national, volume important, adresse alternative contactcentury21@century21horeca.com
FTC Agence CHR;courtier_cession;National;;http://ftchr.com;a_contacter;;;;;Vente de fonds de commerce CHR toute la France, email a chercher via /contact
